age;p10Be
10000;1.0304
10001;1.0281
10002;1.0258
10003;1.0234
10004;1.0209
10005;1.0182
10006;1.0155
10007;1.0126
10008;1.0096
10009;1.0065
10010;1.0033
10011;1.0001
10012;0.99681
10013;0.99355
10014;0.99031
10015;0.98713
10016;0.98403
10017;0.98104
10018;0.97818
10019;0.97548
10020;0.97296
10021;0.97062
10022;0.9685
10023;0.9666
10024;0.96493
10025;0.9635
10026;0.96233
10027;0.96143
10028;0.9608
10029;0.96047
10030;0.96044
10031;0.96074
10032;0.96138
10033;0.96238
10034;0.96378
10035;0.96557
10036;0.9678
10037;0.97047
10038;0.97359
10039;0.97719
10040;0.98125
10041;0.98577
10042;0.99074
10043;0.99614
10044;1.0019
10045;1.0081
10046;1.0145
10047;1.0212
10048;1.0281
10049;1.0351
10050;1.0421
10051;1.0491
10052;1.0559
10053;1.0627
10054;1.0691
10055;1.0753
10056;1.0812
10057;1.0866
10058;1.0917
10059;1.0964
10060;1.1006
10061;1.1044
10062;1.1077
10063;1.1107
10064;1.1132
10065;1.1154
10066;1.1172
10067;1.1187
10068;1.1198
10069;1.1207
10070;1.1214
10071;1.1217
10072;1.1219
10073;1.1218
10074;1.1215
10075;1.1211
10076;1.1204
10077;1.1195
10078;1.1184
10079;1.1171
10080;1.1157
10081;1.114
10082;1.1122
10083;1.1102
10084;1.1081
10085;1.1058
10086;1.1034
10087;1.1009
10088;1.0984
10089;1.0958
10090;1.0931
10091;1.0905
10092;1.0879
10093;1.0854
10094;1.0829
10095;1.0806
10096;1.0784
10097;1.0763
10098;1.0744
10099;1.0726
10100;1.0711
10101;1.0697
10102;1.0685
10103;1.0676
10104;1.0668
10105;1.0663
10106;1.066
10107;1.0659
10108;1.0661
10109;1.0666
10110;1.0674
10111;1.0685
10112;1.07
10113;1.0719
10114;1.0742
10115;1.0769
10116;1.0801
10117;1.0838
10118;1.0881
10119;1.0928
10120;1.0982
10121;1.104
10122;1.1104
10123;1.1173
10124;1.1246
10125;1.1324
10126;1.1405
10127;1.1489
10128;1.1575
10129;1.1662
10130;1.175
10131;1.1837
10132;1.1923
10133;1.2007
10134;1.2088
10135;1.2165
10136;1.2238
10137;1.2307
10138;1.2371
10139;1.2429
10140;1.2483
10141;1.2532
10142;1.2575
10143;1.2614
10144;1.2649
10145;1.268
10146;1.2707
10147;1.2731
10148;1.2753
10149;1.2772
10150;1.279
10151;1.2806
10152;1.2822
10153;1.2836
10154;1.2851
10155;1.2865
10156;1.2879
10157;1.2894
10158;1.2909
10159;1.2924
10160;1.2939
10161;1.2954
10162;1.297
10163;1.2985
10164;1.3001
10165;1.3016
10166;1.3031
10167;1.3046
10168;1.306
10169;1.3074
10170;1.3086
10171;1.3098
10172;1.3109
10173;1.3119
10174;1.3129
10175;1.3137
10176;1.3145
10177;1.3152
10178;1.3158
10179;1.3165
10180;1.3171
10181;1.3176
10182;1.3183
10183;1.3189
10184;1.3197
10185;1.3205
10186;1.3215
10187;1.3226
10188;1.3239
10189;1.3255
10190;1.3273
10191;1.3294
10192;1.3317
10193;1.3344
10194;1.3374
10195;1.3408
10196;1.3445
10197;1.3485
10198;1.3529
10199;1.3575
10200;1.3624
10201;1.3675
10202;1.3728
10203;1.3782
10204;1.3837
10205;1.3892
10206;1.3947
10207;1.4001
10208;1.4053
10209;1.4103
10210;1.4151
10211;1.4196
10212;1.4238
10213;1.4277
10214;1.4312
10215;1.4343
10216;1.4371
10217;1.4395
10218;1.4416
10219;1.4434
10220;1.4448
10221;1.446
10222;1.4469
10223;1.4476
10224;1.448
10225;1.4482
10226;1.4482
10227;1.4481
10228;1.4477
10229;1.4472
10230;1.4465
10231;1.4457
10232;1.4446
10233;1.4434
10234;1.4419
10235;1.4402
10236;1.4383
10237;1.4361
10238;1.4336
10239;1.4309
10240;1.4279
10241;1.4247
10242;1.4213
10243;1.4177
10244;1.414
10245;1.4102
10246;1.4064
10247;1.4027
10248;1.3992
10249;1.3958
10250;1.3927
10251;1.3898
10252;1.3873
10253;1.385
10254;1.383
10255;1.3813
10256;1.3799
10257;1.3786
10258;1.3776
10259;1.3768
10260;1.376
10261;1.3754
10262;1.3749
10263;1.3743
10264;1.3738
10265;1.3733
10266;1.3727
10267;1.372
10268;1.3712
10269;1.3703
10270;1.3692
10271;1.3679
10272;1.3665
10273;1.3648
10274;1.363
10275;1.3609
10276;1.3586
10277;1.3561
10278;1.3534
10279;1.3506
10280;1.3475
10281;1.3444
10282;1.3411
10283;1.3378
10284;1.3345
10285;1.3311
10286;1.3278
10287;1.3245
10288;1.3214
10289;1.3183
10290;1.3154
10291;1.3126
10292;1.31
10293;1.3076
10294;1.3052
10295;1.3031
10296;1.301
10297;1.299
10298;1.2971
10299;1.2951
10300;1.2932
10301;1.2912
10302;1.289
10303;1.2867
10304;1.2841
10305;1.2812
10306;1.278
10307;1.2743
10308;1.2703
10309;1.2657
10310;1.2606
10311;1.2549
10312;1.2486
10313;1.2418
10314;1.2344
10315;1.2265
10316;1.218
10317;1.2092
10318;1.1999
10319;1.1903
10320;1.1805
10321;1.1706
10322;1.1606
10323;1.1507
10324;1.141
10325;1.1315
10326;1.1223
10327;1.1136
10328;1.1053
10329;1.0975
10330;1.0903
10331;1.0836
10332;1.0775
10333;1.0719
10334;1.0668
10335;1.0621
10336;1.0579
10337;1.054
10338;1.0504
10339;1.047
10340;1.0439
10341;1.0408
10342;1.0378
10343;1.0347
10344;1.0317
10345;1.0285
10346;1.0253
10347;1.0219
10348;1.0185
10349;1.0149
10350;1.0111
10351;1.0073
10352;1.0034
10353;0.99952
10354;0.99558
10355;0.99167
10356;0.98781
10357;0.98405
10358;0.98041
10359;0.97692
10360;0.97362
10361;0.97051
10362;0.96762
10363;0.96496
10364;0.96254
10365;0.96035
10366;0.9584
10367;0.95668
10368;0.95518
10369;0.95388
10370;0.95279
10371;0.95189
10372;0.95115
10373;0.95059
10374;0.95017
10375;0.94991
10376;0.94978
10377;0.9498
10378;0.94996
10379;0.95026
10380;0.95072
10381;0.95135
10382;0.95216
10383;0.95316
10384;0.95438
10385;0.95584
10386;0.95754
10387;0.95952
10388;0.96179
10389;0.96436
10390;0.96725
10391;0.97045
10392;0.97397
10393;0.9778
10394;0.98193
10395;0.98633
10396;0.99097
10397;0.99583
10398;1.0009
10399;1.006
10400;1.0112
10401;1.0164
10402;1.0216
10403;1.0268
10404;1.0317
10405;1.0365
10406;1.0411
10407;1.0454
10408;1.0494
10409;1.0531
10410;1.0565
10411;1.0595
10412;1.0622
10413;1.0646
10414;1.0667
10415;1.0685
10416;1.0701
10417;1.0714
10418;1.0725
10419;1.0735
10420;1.0742
10421;1.0749
10422;1.0755
10423;1.0761
10424;1.0766
10425;1.0771
10426;1.0776
10427;1.0782
10428;1.0789
10429;1.0796
10430;1.0805
10431;1.0814
10432;1.0825
10433;1.0837
10434;1.085
10435;1.0864
10436;1.088
10437;1.0896
10438;1.0914
10439;1.0931
10440;1.095
10441;1.0969
